Id,Area_SqFt,Bedrooms,Bathrooms,Floors,Year_Built,Location,Condition,Garage_Capacity,Has_Pool,Distance_City_Center_Miles,Price
1306,500.0,3.0,3.0,1,1989.0,Rural,Very Good,0,No,10.86,323800.0
1307,3222.1,3.0,2.0,1,1977.0,Waterfront,Good,1,No,13.94,898900.0
1308,1726.7,3.0,2.0,3,1996.0,Urban,Poor,1,No,16.71,270800.0
1309,2637.7,4.0,3.0,1,1988.0,Suburbs,Good,1,No,29.14,440100.0
1310,2038.2,3.0,3.0,2,2019.0,Downtown,Excellent,3,No,3.75,555700.0
1311,500.0,3.0,3.0,3,2022.0,Rural,Good,1,Yes,19.56,296700.0
1312,500.0,3.0,3.0,1,1969.0,Urban,Good,1,Yes,1.41,631800.0
1313,500.0,3.0,3.0,1,1950.0,Downtown,Fair,2,Yes,12.21,702600.0
1314,2850.8,5.0,5.0,1,2021.0,Suburbs,Good,0,No,13.55,631000.0
1315,3244.4,3.0,4.0,1,2012.0,Waterfront,Excellent,1,No,11.32,900000.0
1316,2216.8,2.0,3.0,1,2016.0,Suburbs,Good,1,No,2.91,409800.0
1317,2745.6,1.0,1.0,2,1953.0,Suburbs,Very Good,2,No,20.64,364800.0
1318,1951.8,3.0,2.0,1,2007.0,Suburbs,Good,3,No,1.85,504400.0
1319,2459.3,3.0,3.0,2,1974.0,Downtown,Good,2,No,0.55,603100.0
1320,2095.9,2.0,2.0,3,1996.0,Suburbs,Fair,1,Yes,12.64,440400.0
1321,2277.6,3.0,3.0,2,1987.0,Suburbs,Very Good,2,No,6.45,458000.0
1322,2676.1,3.0,3.0,2,1988.0,Downtown,Good,0,No,18.91,575700.0
1323,500.0,3.0,3.0,1,2012.0,Rural,Good,0,No,4.84,299700.0
1324,3873.9,4.0,3.0,2,1988.0,Suburbs,Good,1,Yes,1.84,769800.0
1325,1395.2,2.0,3.0,2,2006.0,Rural,Excellent,1,No,18.11,202100.0
1326,1228.6,2.0,1.0,1,2002.0,Rural,Poor,1,No,7.96,165900.0
1327,3126.5,4.0,3.0,1,1995.0,Downtown,Very Good,2,No,2.1,815600.0
1328,2833.3,3.0,2.0,2,1963.0,Urban,Fair,3,No,12.74,572600.0
1329,2699.3,3.0,2.0,1,1966.0,Suburbs,Good,1,No,7.16,515700.0
1330,2702.7,3.0,3.0,1,1988.0,Downtown,Poor,1,Yes,9.27,658800.0
1331,2190.2,3.0,2.0,1,1958.0,Downtown,Good,0,No,6.18,492700.0
1332,1482.2,4.0,4.0,1,1955.0,Urban,Good,0,No,17.64,384400.0
1333,2260.6,4.0,4.0,2,1972.0,Urban,Poor,2,No,17.69,516700.0
1334,1658.3,3.0,3.0,2,2008.0,Suburbs,Good,1,No,12.36,366200.0
1335,2980.1,3.0,2.0,2,1995.0,Downtown,Excellent,2,No,1.11,667600.0
1336,2082.4,3.0,2.0,1,1987.0,Urban,Fair,0,Yes,18.25,276100.0
1337,1539.6,3.0,2.0,1,1963.0,Urban,Very Good,0,No,11.12,303500.0
1338,1942.9,2.0,2.0,1,2021.0,Suburbs,Good,1,Yes,11.94,360700.0
1339,2530.3,5.0,5.0,1,2011.0,Urban,Good,1,No,4.51,632200.0
1340,1749.0,2.0,2.0,1,1984.0,Suburbs,Fair,0,No,21.14,458400.0
1341,500.0,5.0,5.0,2,1968.0,Urban,Fair,2,No,12.92,458400.0
1342,2394.9,3.0,2.0,1,1979.0,Downtown,Fair,0,No,1.19,622600.0
1343,500.0,2.0,3.0,2,1974.0,Downtown,Poor,2,No,5.24,578600.0
1344,1794.4,3.0,2.0,1,1989.0,Suburbs,Fair,1,No,21.75,283400.0
1345,1823.2,4.0,4.0,1,1963.0,Suburbs,Good,0,No,0.48,426900.0
1346,2385.6,4.0,4.0,1,1975.0,Downtown,Excellent,1,Yes,32.55,520300.0
1347,1041.5,3.0,4.0,3,1971.0,Downtown,Very Good,2,No,11.37,361000.0
1348,1074.0,3.0,3.0,2,1997.0,Suburbs,Good,1,No,9.98,236300.0
1349,1625.2,3.0,3.0,3,2000.0,Suburbs,Fair,2,No,3.15,355300.0
1350,2029.2,4.0,3.0,1,1952.0,Rural,Fair,0,No,2.86,308200.0
1351,2448.7,3.0,1.0,1,1991.0,Downtown,Good,2,No,28.48,481800.0
1352,3380.3,3.0,2.0,2,1968.0,Suburbs,Fair,1,No,3.54,623900.0
1353,2886.1,2.0,2.0,1,2022.0,Suburbs,Good,2,No,14.94,515400.0
1354,2072.0,5.0,5.0,2,1977.0,Downtown,Good,2,No,4.99,574600.0
1355,2184.8,5.0,5.0,1,1994.0,Downtown,Good,3,No,1.5,694200.0
1356,1398.0,1.0,1.0,1,2020.0,Suburbs,Good,1,No,0.11,309100.0
1357,2185.2,4.0,4.0,1,2012.0,Suburbs,Very Good,0,No,7.86,459900.0
1358,1969.1,5.0,5.0,1,2022.0,Suburbs,Very Good,0,No,37.21,403800.0
1359,2458.2,2.0,3.0,2,1968.0,Suburbs,Good,2,No,4.61,496000.0
1360,1538.2,3.0,2.0,1,1996.0,Urban,Excellent,1,No,4.42,323200.0
1361,2615.5,5.0,4.0,1,1963.0,Downtown,Excellent,2,No,4.22,641200.0
1362,3426.2,1.0,1.0,1,1987.0,Suburbs,Good,1,No,7.35,558100.0
1363,2113.0,3.0,3.0,1,2002.0,Waterfront,Good,1,No,5.81,692800.0
1364,2521.4,3.0,3.0,2,2010.0,Suburbs,Good,0,No,21.2,423700.0
1365,2752.1,5.0,4.0,2,1985.0,Urban,Excellent,3,Yes,7.04,658700.0
1366,1879.0,5.0,5.0,3,1989.0,Suburbs,Very Good,2,No,7.09,514100.0
1367,2379.3,5.0,3.0,2,1979.0,Rural,Fair,3,No,1.49,414700.0
1368,2210.1,3.0,2.0,1,1958.0,Rural,Good,1,No,40.59,242200.0
1369,2278.1,3.0,4.0,2,2013.0,Suburbs,Good,2,Yes,2.88,597500.0
1370,1581.6,4.0,3.0,1,1982.0,Waterfront,Good,2,No,0.76,600700.0
1371,2219.6,3.0,3.0,1,2001.0,Downtown,Fair,1,No,10.88,579700.0
1372,2598.4,4.0,4.0,2,1963.0,Downtown,Very Good,2,No,9.05,636300.0
1373,3360.9,1.0,1.0,1,2002.0,Rural,Good,3,No,5.36,458400.0
1374,2967.4,3.0,2.0,3,2008.0,Rural,Very Good,2,No,5.49,431000.0
1375,2139.3500000000004,2.0,1.0,1,1990.0,Downtown,Very Good,2,No,15.37,812000.0
1376,1586.1,3.0,2.0,2,2017.0,Suburbs,Very Good,1,No,2.18,342600.0
1377,2897.9,2.0,1.0,2,2017.0,Downtown,Good,1,Yes,17.16,742600.0
1378,2346.7,3.0,2.0,2,1957.0,Suburbs,Good,3,Yes,10.46,405000.0
1379,3951.8,3.0,2.0,2,1951.0,Rural,Fair,0,No,5.43,502500.0
1380,1553.4,4.0,4.0,2,1990.0,Suburbs,Good,2,No,6.13,376500.0
1381,1528.2,2.0,1.0,1,2004.0,Suburbs,Fair,2,No,2.97,323000.0
1382,1720.5,3.0,2.0,2,1965.0,Suburbs,Good,2,No,13.95,323600.0
1383,500.9,3.0,2.0,1,2011.0,Downtown,Fair,3,No,7.19,297800.0
1384,1779.4,4.0,4.0,2,1997.0,Suburbs,Fair,1,Yes,3.87,322000.0
1385,1592.7,3.0,2.0,2,1979.0,Urban,Fair,1,Yes,9.06,232500.0
1386,2320.3,3.0,3.0,2,1961.0,Waterfront,Poor,0,No,54.57,448000.0
1387,2473.4,4.0,3.0,1,1984.0,Rural,Very Good,1,No,5.71,412400.0
1388,3700.9,3.0,2.0,1,1960.0,Downtown,Very Good,1,No,25.34,675900.0
1389,2960.3,2.0,1.0,2,2013.0,Downtown,Good,1,No,4.23,534000.0
1390,1738.5,1.0,1.0,1,1999.0,Rural,Fair,2,No,0.56,270600.0
1391,1481.3,4.0,3.0,1,1970.0,Rural,Fair,3,No,2.28,287100.0
1392,2593.5,1.0,1.0,1,2018.0,Suburbs,Poor,0,Yes,5.42,458400.0
1393,1143.8,4.0,3.0,3,1997.0,Suburbs,Fair,1,No,2.48,458400.0
1394,3665.2,3.0,2.0,2,1969.0,Suburbs,Excellent,3,No,0.0,652100.0
1395,3143.6,5.0,4.0,1,2016.0,Downtown,Fair,0,No,24.65,458400.0
1396,1824.7,4.0,4.0,1,1993.0,Downtown,Good,0,No,18.57,448800.0
1397,829.5,5.0,5.0,1,1982.0,Downtown,Fair,0,No,13.56,369900.0
1398,3283.1,3.0,2.0,2,2022.0,Suburbs,Fair,2,No,1.84,544900.0
1399,2108.4,4.0,4.0,2,2010.0,Urban,Good,0,No,1.28,482200.0
1400,3190.3,3.0,3.0,1,1958.0,Suburbs,Good,3,No,0.7,578100.0
1401,924.5,3.0,3.0,1,2017.0,Downtown,Fair,1,No,12.87,292500.0
1402,1720.5,3.0,3.0,1,1984.0,Waterfront,Poor,1,Yes,26.42,464700.0
1403,2204.2,4.0,4.0,2,2014.0,Suburbs,Good,1,Yes,5.63,537300.0
1404,2237.6,5.0,5.0,2,1957.0,Rural,Fair,1,No,1.27,353400.0
1405,1839.9,4.0,4.0,1,1994.0,Suburbs,Fair,2,Yes,7.18,389600.0
1406,2698.3,3.0,2.0,1,1996.0,Suburbs,Excellent,2,No,4.29,550200.0
1407,1345.9,3.0,2.0,1,1989.0,Waterfront,Good,2,No,4.7,605000.0
1408,2086.1,4.0,4.0,3,2003.0,Downtown,Good,2,No,9.71,586600.0
1409,2296.2,2.0,2.0,1,1995.0,Suburbs,Good,3,No,12.68,436600.0
1410,2611.6,2.0,2.0,2,1996.0,Downtown,Good,2,No,1.17,556200.0
1411,2769.3,3.0,2.0,2,1964.0,Downtown,Good,2,No,0.36,548500.0
1412,1300.3,3.0,2.0,1,1968.0,Downtown,Good,0,No,51.73,189700.0
1413,972.7,3.0,3.0,1,1975.0,Urban,Very Good,0,No,2.65,245900.0
1414,3222.1,2.0,2.0,1,2001.0,Rural,Fair,1,No,0.55,490300.0
1415,2465.9,1.0,2.0,2,1971.0,Urban,Good,2,No,2.11,423800.0
1416,1601.2,1.0,1.0,2,1970.0,Downtown,Good,1,No,0.4,365600.0
1417,3440.9,3.0,4.0,2,2000.0,Rural,Very Good,1,No,4.97,622100.0
1418,2292.5,3.0,2.0,2,1987.0,Urban,Good,2,No,16.22,476900.0
1419,3143.4,3.0,2.0,1,1969.0,Suburbs,Good,2,No,4.17,589300.0
1420,2254.0,3.0,3.0,3,1978.0,Urban,Fair,3,Yes,5.87,513500.0
1421,3848.6,2.0,3.0,2,1988.0,Suburbs,Good,1,No,11.26,623700.0
1422,3604.3,5.0,4.0,1,1953.0,Suburbs,Fair,2,No,7.11,761800.0
1423,2000.8,4.0,3.0,3,2004.0,Suburbs,Good,1,No,19.76,368900.0
1424,2977.3,2.0,2.0,2,2020.0,Suburbs,Fair,0,No,20.1,528900.0
1425,2716.3,3.0,3.0,2,1988.0,Suburbs,Good,0,No,0.1,461900.0
1426,3294.9,4.0,4.0,2,1953.0,Downtown,Fair,1,No,15.05,700700.0
1427,1428.1,5.0,5.0,2,1971.0,Urban,Good,1,No,6.18,472300.0
1428,2748.8,3.0,2.0,2,1994.0,Downtown,Excellent,2,No,44.95,521900.0
1429,3046.7,3.0,2.0,1,2016.0,Downtown,Fair,0,No,6.6,798000.0
1430,793.0,2.0,2.0,1,2015.0,Downtown,Good,2,No,43.35,132500.0
1431,1253.4,5.0,5.0,3,1983.0,Urban,Good,1,No,14.05,297100.0
1432,568.6,2.0,2.0,1,2004.0,Suburbs,Poor,1,No,2.86,181900.0
1433,1984.5,5.0,4.0,1,1950.0,Downtown,Very Good,1,No,7.73,511700.0
1434,2774.0,3.0,3.0,1,2021.0,Waterfront,Poor,1,No,48.45,781300.0
1435,500.0,3.0,2.0,1,1987.0,Suburbs,Good,2,No,19.49,596000.0
1436,2259.3,3.0,2.0,2,1955.0,Downtown,Good,1,Yes,1.02,453800.0
1437,3502.9,2.0,3.0,3,1988.0,Suburbs,Good,0,Yes,12.25,594600.0
1438,1095.9,2.0,2.0,1,1966.0,Urban,Good,0,No,4.24,305100.0
1439,837.3,2.0,1.0,1,2010.0,Downtown,Fair,1,No,0.07,270900.0
1440,2155.6,2.0,3.0,1,1961.0,Suburbs,Poor,3,No,5.17,411400.0
1441,2507.3,3.0,3.0,2,1955.0,Rural,Very Good,1,No,2.68,411300.0
1442,2173.8,3.0,2.0,2,1976.0,Suburbs,Good,2,No,17.09,397500.0
1443,546.0,2.0,2.0,1,1957.0,Suburbs,Very Good,2,No,4.11,131300.0
1444,2128.7,5.0,5.0,2,2014.0,Suburbs,Very Good,3,No,17.57,484200.0
1445,1156.4,4.0,4.0,2,2006.0,Downtown,Very Good,2,No,0.01,449700.0
1446,2735.7,5.0,4.0,2,1989.0,Downtown,Good,2,No,3.68,823800.0
1447,2493.3,5.0,5.0,3,1963.0,Suburbs,Good,2,No,2.76,553300.0
1448,1448.1,2.0,2.0,1,1984.0,Downtown,Very Good,2,No,2.66,437400.0
1449,1788.9,3.0,2.0,2,1997.0,Downtown,Good,1,No,0.71,458400.0
1450,1352.6,4.0,3.0,1,2005.0,Rural,Fair,1,No,2.07,458400.0
1451,2149.9,3.0,3.0,2,1988.0,Suburbs,Very Good,0,No,8.11,421300.0
1452,2964.1,2.0,3.0,2,1962.0,Rural,Excellent,2,Yes,3.44,408300.0
1453,1411.4,4.0,3.0,2,2010.0,Rural,Good,2,No,5.4,304000.0
1454,2603.2,2.0,2.0,2,1998.0,Downtown,Poor,0,No,4.73,570700.0
1455,1775.8,2.0,3.0,1,1995.0,Waterfront,Good,2,No,20.87,527200.0
1456,1565.7,3.0,2.0,2,2011.0,Downtown,Very Good,1,No,23.57,391700.0
1457,2114.4,3.0,2.0,3,1957.0,Waterfront,Excellent,0,No,6.79,615200.0
1458,1371.8,3.0,2.0,3,1992.0,Suburbs,Fair,3,Yes,4.01,458400.0
1459,1757.1,2.0,1.0,1,1969.0,Urban,Poor,1,No,1.13,287400.0
1460,1241.7,3.0,3.0,1,1988.0,Suburbs,Very Good,0,Yes,30.66,223300.0
1461,3771.8,3.0,2.0,1,1998.0,Urban,Good,2,No,0.62,777400.0
1462,2228.2,2.0,3.0,2,2013.0,Suburbs,Good,2,Yes,3.53,442500.0
1463,1640.2,4.0,4.0,2,2011.0,Suburbs,Good,0,No,3.54,351200.0
1464,2371.2,5.0,5.0,1,2003.0,Urban,Poor,2,No,3.86,588500.0
1465,2110.1,4.0,4.0,2,1958.0,Downtown,Good,1,No,1.79,476700.0
1466,2023.2,3.0,4.0,2,1986.0,Urban,Poor,0,No,15.29,433600.0
1467,2691.3,3.0,3.0,2,1998.0,Suburbs,Good,0,No,1.31,463700.0
1468,2806.0,3.0,3.0,2,1990.0,Downtown,Very Good,2,No,10.08,649100.0
1469,1775.6,2.0,2.0,2,1966.0,Rural,Good,1,Yes,1.32,251800.0
1470,1739.3,3.0,2.0,2,1970.0,Downtown,Fair,3,No,0.73,489500.0
1471,1980.0,3.0,3.0,1,2000.0,Suburbs,Good,2,No,24.02,462000.0
1472,500.0,3.0,2.0,2,2008.0,Waterfront,Good,3,No,2.11,225000.0
1473,987.8,4.0,4.0,2,1988.0,Suburbs,Fair,1,Yes,17.22,284800.0
1474,3293.5,3.0,2.0,2,2004.0,Waterfront,Good,3,Yes,7.87,900000.0
1475,3516.0,3.0,2.0,2,1990.0,Rural,Good,1,No,0.81,470000.0
1476,2000.8,2.0,2.0,2,1988.0,Downtown,Poor,1,No,31.11,381700.0
1477,2661.2,3.0,2.0,1,1962.0,Suburbs,Good,0,Yes,2.84,452600.0
1478,2449.0,2.0,2.0,1,2013.0,Urban,Good,0,No,19.64,451100.0
1479,4663.1,4.0,3.0,1,1960.0,Downtown,Very Good,2,No,1.85,900000.0
1480,500.0,3.0,2.0,1,1968.0,Urban,Good,1,No,19.24,587600.0
1481,2097.7,3.0,3.0,2,1960.0,Urban,Very Good,1,No,0.13,477500.0
1482,1435.6,3.0,2.0,3,1995.0,Downtown,Poor,2,No,7.17,375400.0
1483,914.8,4.0,3.0,1,1994.0,Urban,Fair,1,No,14.67,187900.0
1484,2362.8,3.0,2.0,1,1950.0,Rural,Good,2,No,27.3,279400.0
1485,1594.9,3.0,2.0,2,1988.0,Suburbs,Good,1,No,23.99,319500.0
1486,500.0,3.0,3.0,1,1968.0,Downtown,Poor,2,Yes,17.13,206200.0
1487,1682.7,3.0,2.0,2,2021.0,Downtown,Very Good,2,No,21.91,458400.0
1488,1334.8,4.0,3.0,2,2021.0,Suburbs,Very Good,1,No,2.22,350600.0
1489,3549.7,4.0,3.0,2,2010.0,Suburbs,Good,1,No,3.34,671500.0
1490,2905.3,3.0,3.0,1,1961.0,Downtown,Poor,1,No,3.41,652600.0
1491,2193.6,4.0,3.0,1,1988.0,Urban,Very Good,2,No,4.73,522200.0
1492,3384.0,4.0,4.0,2,1982.0,Downtown,Good,1,No,5.0,792000.0
1493,500.0,4.0,3.0,2,1994.0,Suburbs,Very Good,1,Yes,7.86,432900.0
1494,1511.0,4.0,3.0,1,2018.0,Rural,Very Good,0,No,1.74,299300.0
1495,3418.5,3.0,2.0,2,1957.0,Urban,Very Good,1,Yes,11.75,577300.0
1496,2631.1,3.0,2.0,1,1974.0,Downtown,Good,1,No,1.83,547600.0
1497,1370.2,3.0,2.0,2,1995.0,Suburbs,Fair,2,Yes,3.72,286000.0
1498,2047.7,4.0,3.0,1,1979.0,Downtown,Good,1,Yes,7.0,561800.0
1499,1499.5,2.0,1.0,3,1996.0,Suburbs,Good,1,No,15.92,239600.0
1500,1093.8,4.0,3.0,1,1998.0,Urban,Very Good,2,No,13.45,272900.0
1011,1829.3,2.0,2.0,1,1986.0,Downtown,Excellent,2,No,17.18,393500.0
1026,2288.7,3.0,3.0,2,1952.0,Downtown,Poor,1,No,9.83,458400.0
1101,1067.7,3.0,4.0,2,1980.0,Suburbs,Poor,2,No,6.45,213300.0
1211,2656.7,4.0,3.0,2,1968.0,Rural,Fair,0,No,2.41,462100.0
1351,2448.7,3.0,1.0,1,1991.0,Downtown,Good,2,No,28.48,481800.0
